label,angry,bored,disgust,happy,sad,shy,stressed,surprised
sad,0.16,0.02,0.28,0.02,0.47,0.00,0.01,0.04
sad,0.27,0.01,0.25,0.02,0.42,0.00,0.01,0.02
sad,0.36,0.01,0.13,0.01,0.47,0.00,0.01,0.02
angry,0.37,0.01,0.19,0.11,0.25,0.00,0.01,0.05
sad,0.27,0.01,0.19,0.09,0.38,0.00,0.01,0.05
disgust,0.22,0.01,0.28,0.24,0.23,0.00,0.01,0.01
happy,0.43,0.00,0.12,0.43,0.01,0.00,0.00,0.00
angry,0.67,0.00,0.29,0.02,0.01,0.00,0.01,0.01
disgust,0.20,0.00,0.78,0.00,0.00,0.00,0.01,0.00
disgust,0.06,0.00,0.92,0.00,0.00,0.01,0.01,0.00
disgust,0.05,0.00,0.91,0.00,0.00,0.02,0.01,0.00
disgust,0.12,0.00,0.86,0.00,0.00,0.00,0.01,0.00
angry,0.46,0.00,0.16,0.33,0.01,0.01,0.03,0.00
angry,0.60,0.00,0.05,0.34,0.00,0.00,0.01,0.00
angry,0.58,0.00,0.01,0.40,0.00,0.00,0.00,0.00
angry,0.65,0.00,0.01,0.33,0.01,0.00,0.00,0.00
happy,0.00,0.00,0.23,0.71,0.04,0.01,0.00,0.00
happy,0.00,0.00,0.03,0.81,0.12,0.03,0.00,0.00
happy,0.00,0.02,0.02,0.52,0.37,0.07,0.00,0.00
sad,0.00,0.00,0.01,0.31,0.55,0.13,0.00,0.00
sad,0.00,0.00,0.01,0.33,0.36,0.30,0.00,0.00
sad,0.00,0.00,0.01,0.22,0.45,0.33,0.00,0.00
sad,0.00,0.00,0.01,0.30,0.35,0.34,0.00,0.00
sad,0.00,0.00,0.01,0.34,0.36,0.29,0.00,0.00
happy,0.00,0.00,0.01,0.36,0.33,0.30,0.00,0.00
sad,0.00,0.00,0.01,0.33,0.36,0.31,0.00,0.00
happy,0.00,0.00,0.00,0.36,0.28,0.36,0.00,0.00
shy,0.00,0.00,0.00,0.34,0.26,0.39,0.00,0.00
shy,0.00,0.00,0.00,0.31,0.27,0.41,0.00,0.00
shy,0.00,0.00,0.00,0.29,0.27,0.43,0.00,0.00
shy,0.00,0.00,0.00,0.36,0.19,0.45,0.00,0.00
shy,0.00,0.00,0.00,0.41,0.13,0.45,0.00,0.00
shy,0.00,0.00,0.00,0.41,0.11,0.48,0.00,0.00
sad,0.00,0.00,0.03,0.05,0.86,0.06,0.00,0.00
angry,0.94,0.00,0.01,0.01,0.01,0.01,0.00,0.01
angry,0.70,0.00,0.02,0.06,0.05,0.03,0.00,0.14
angry,0.62,0.00,0.05,0.06,0.03,0.01,0.00,0.23
angry,0.78,0.00,0.02,0.01,0.01,0.00,0.00,0.18
angry,0.93,0.00,0.01,0.00,0.00,0.00,0.00,0.05
angry,0.83,0.00,0.03,0.00,0.00,0.00,0.00,0.14
angry,0.77,0.00,0.03,0.00,0.00,0.00,0.00,0.20
angry,0.60,0.01,0.07,0.13,0.01,0.00,0.00,0.18
happy,0.30,0.01,0.03,0.59,0.02,0.00,0.00,0.05
happy,0.19,0.01,0.02,0.75,0.01,0.00,0.00,0.02
happy,0.37,0.01,0.02,0.55,0.02,0.00,0.01,0.02
happy,0.05,0.01,0.01,0.82,0.09,0.00,0.00,0.02
happy,0.00,0.00,0.00,0.62,0.35,0.00,0.00,0.02
happy,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
angry,0.71,0.00,0.00,0.18,0.00,0.08,0.01,0.02
angry,0.69,0.00,0.00,0.09,0.00,0.04,0.05,0.12
shy,0.00,0.00,0.01,0.33,0.12,0.54,0.00,0.00
shy,0.00,0.00,0.01,0.21,0.12,0.65,0.00,0.00
happy,0.00,0.00,0.00,0.69,0.01,0.00,0.00,0.29
shy,0.41,0.00,0.00,0.15,0.01,0.42,0.01,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
happy,0.00,0.00,0.00,0.86,0.13,0.01,0.00,0.00
sad,0.00,0.00,0.00,0.05,0.94,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.17,0.83,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.21,0.79,0.00,0.00,0.00
happy,0.00,0.00,0.00,0.80,0.20,0.00,0.00,0.00
sad,0.00,0.00,0.00,0.43,0.55,0.01,0.00,0.00
sad,0.00,0.00,0.00,0.38,0.59,0.03,0.00,0.00
sad,0.00,0.00,0.00,0.40,0.52,0.08,0.00,0.00
sad,0.00,0.00,0.00,0.28,0.63,0.09,0.00,0.00
sad,0.00,0.00,0.00,0.22,0.71,0.06,0.00,0.00
sad,0.00,0.00,0.00,0.16,0.77,0.07,0.00,0.00
sad,0.00,0.00,0.00,0.07,0.88,0.04,0.00,0.00
sad,0.00,0.00,0.00,0.11,0.74,0.14,0.00,0.00
sad,0.00,0.00,0.00,0.16,0.54,0.29,0.00,0.00
shy,0.00,0.00,0.01,0.22,0.32,0.45,0.00,0.00
shy,0.00,0.00,0.02,0.29,0.23,0.46,0.00,0.00
shy,0.00,0.00,0.01,0.35,0.24,0.39,0.00,0.00
shy,0.00,0.00,0.00,0.15,0.20,0.65,0.00,0.00
shy,0.00,0.00,0.01,0.14,0.23,0.62,0.00,0.00
shy,0.00,0.00,0.00,0.06,0.20,0.73,0.00,0.00
shy,0.00,0.00,0.00,0.13,0.21,0.66,0.00,0.00
shy,0.00,0.00,0.00,0.11,0.13,0.76,0.00,0.00
shy,0.00,0.00,0.00,0.19,0.18,0.63,0.00,0.00
shy,0.00,0.00,0.01,0.28,0.17,0.54,0.00,0.00
happy,0.00,0.00,0.01,0.45,0.19,0.35,0.00,0.00
shy,0.00,0.00,0.01,0.40,0.19,0.40,0.00,0.00
happy,0.00,0.00,0.01,0.56,0.16,0.27,0.00,0.00
happy,0.00,0.00,0.01,0.61,0.11,0.27,0.00,0.00
shy,0.09,0.00,0.00,0.27,0.23,0.36,0.00,0.05
sad,0.03,0.01,0.01,0.09,0.55,0.25,0.00,0.06
sad,0.02,0.01,0.01,0.09,0.62,0.19,0.00,0.07
sad,0.02,0.01,0.02,0.13,0.58,0.16,0.00,0.08
happy,0.02,0.02,0.03,0.60,0.21,0.07,0.00,0.05
happy,0.00,0.00,0.03,0.73,0.13,0.09,0.00,0.00
happy,0.00,0.00,0.05,0.65,0.11,0.19,0.00,0.00
happy,0.00,0.00,0.03,0.51,0.10,0.36,0.00,0.00
shy,0.00,0.00,0.04,0.38,0.08,0.50,0.00,0.00
shy,0.00,0.00,0.06,0.41,0.03,0.49,0.00,0.00
shy,0.00,0.00,0.03,0.38,0.05,0.55,0.00,0.00
shy,0.00,0.00,0.02,0.21,0.03,0.74,0.00,0.00
shy,0.00,0.00,0.01,0.17,0.03,0.78,0.00,0.00
shy,0.00,0.00,0.01,0.07,0.02,0.90,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
shy,0.00,0.00,0.00,0.01,0.00,0.99,0.00,0.00
shy,0.00,0.00,0.00,0.01,0.00,0.99,0.00,0.00
